trade_date,close,open,high,low,vol,pct_chg
20130816,3558.05,3579.22,3671.67,3551.54,7.55K,-0.86
20130819,3582.25,3542.64,3584.69,3529.7,5.03K,0.68
20130802,3485.37,3505.03,3552.18,3482.79,6.62K,1.53
20130820,3535.92,3568.26,3588.47,3517.55,5.34K,-1.29
20130821,3516.95,3541.11,3542.47,3497.99,5.18K,-0.54
20130822,3505.18,3512.11,3545.3,3501.1,5.47K,-0.33
20130823,3488.24,3515.58,3525.86,3435.68,5.78K,-0.48
20130826,3546.24,3493.56,3546.96,3481.7,4.88K,1.66
20130827,3564.89,3545.26,3578.21,3542.41,5.27K,0.53
20130828,3517.96,3546.21,3546.21,3497.49,7.16K,-1.32
20130829,3523.78,3517.39,3527.92,3496.09,7.04K,0.17
20130830,3519.3,3517.1,3560.03,3503.02,7.75K,-0.13
20130805,3504.85,3468.84,3504.85,3447.06,4.39K,0.56
20130806,3505.49,3485.73,3516.24,3445.21,4.90K,0.02
20130807,3552.73,3538.83,3613.63,3538.83,7.40K,1.35
20130808,3525.36,3554.01,3565.71,3516.9,4.31K,-0.77
20130809,3546.07,3547.36,3568.3,3508.72,4.02K,0.59
20130910,3656.8,3623.08,3656.8,3613.07,6.88K,0.97
20130911,3675.25,3663.81,3701.32,3651.64,8.19K,0.5
20130912,3681.9,3670.11,3697.52,3643.86,7.29K,0.18
20130913,3692.33,3690.9,3718.77,3669.24,8.63K,0.28
20130916,3664.46,3709.44,3717.87,3651.23,6.27K,-0.75
20130917,3536.37,3655.69,3655.69,3534.29,6.90K,-3.5
20130918,3556.16,3533.4,3558.51,3512.86,4.73K,0.56
20130902,3473.39,3518.91,3528.36,3435.47,5.79K,-1.3
20130923,3575.81,3572.18,3575.95,3544.07,4.93K,0.55
20130924,3534.02,3572.11,3572.11,3495.91,7.04K,-1.17
20130925,3522.95,3536.3,3560.83,3515.23,8.01K,-0.31
20130926,3437.36,3524.1,3525.77,3435.47,6.38K,-2.43
20130927,3415.47,3436.61,3447.59,3401.97,3.90K,-0.64
20130903,3569.49,3479.0,3569.49,3465.59,8.25K,2.77
20130930,3443.65,3422.32,3445.54,3422.32,3.69K,0.83
20130904,3543.48,3568.22,3579.93,3536.01,5.80K,-0.73
20130905,3543.59,3555.03,3588.46,3540.32,5.94K,0.0
20130906,3536.74,3539.73,3562.84,3513.23,5.12K,-0.19
20130909,3621.58,3542.13,3646.17,3538.27,8.33K,2.4
20140110,2848.41,2868.07,2874.64,2839.45,4.15K,-1.08
20140113,2804.46,2845.9,2864.43,2781.67,4.16K,-1.54
20140114,2839.05,2799.25,2839.27,2788.83,4.07K,1.23
20140115,2830.17,2834.57,2838.56,2811.84,3.88K,-0.31
20140116,2840.09,2828.5,2856.29,2816.6,3.26K,0.35
20140117,2801.23,2830.13,2835.56,2799.96,2.85K,-1.37
20140102,3112.28,3119.85,3129.36,3106.24,3.45K,-0.54
20140120,2791.32,2795.92,2811.3,2780.13,2.45K,-0.35
20140121,2835.45,2798.2,2840.97,2798.2,3.29K,1.58
20140122,2966.39,2838.95,2968.07,2838.95,6.92K,4.62
20140123,2961.21,2968.29,2979.21,2944.04,5.26K,-0.17
20140124,3044.36,2949.98,3065.05,2949.62,8.42K,2.81
20140127,2992.28,3023.58,3023.58,2983.11,5.40K,-1.71
20140128,2980.08,2997.95,3015.7,2965.76,3.60K,-0.41
20140129,2982.82,2984.3,2995.21,2970.83,3.34K,0.09
20140103,3058.72,3103.87,3103.87,3049.23,3.76K,-1.72
20140130,2945.21,2975.5,2975.95,2923.68,3.50K,-1.26
20140106,2954.94,3054.96,3054.96,2945.94,5.12K,-3.39
20140107,2929.74,2934.18,2951.54,2920.18,3.25K,-0.85
20140108,2900.26,2933.28,2951.34,2892.16,4.12K,-1.01
20140109,2879.45,2894.75,2926.88,2878.68,4.41K,-0.72
20141010,3883.44,3844.27,3894.34,3825.83,16.33K,0.79
20141013,3915.5,3872.59,3915.5,3853.87,13.16K,0.83
20141014,3891.29,3911.24,3924.28,3865.35,11.69K,-0.62
20141015,3846.83,3885.62,3889.31,3815.13,9.72K,-1.14
20141016,3773.39,3822.76,3836.04,3773.39,11.01K,-1.91
20141017,3776.29,3784.68,3814.34,3720.65,11.31K,0.08
20141020,3797.83,3784.43,3797.83,3760.16,7.87K,0.57
20141021,3758.47,3791.61,3792.17,3746.69,8.05K,-1.04
20141022,3703.6,3759.18,3767.61,3698.96,6.68K,-1.46
