trade_date,close,open,high,low,vol,pct_chg
20160315,2864.37,2853.98,2865.79,2819.79,16.34B,0.17
20160316,2870.43,2858.71,2881.53,2854.19,18.65B,0.21
20160317,2904.83,2875.41,2921.0,2857.19,20.03B,1.2
20160318,2955.15,2915.52,2971.55,2908.74,31.33B,1.73
20160302,2849.68,2733.77,2852.7,2732.54,27.10B,4.26
20160321,3018.8,2978.46,3028.32,2973.76,35.24B,2.15
20160322,2999.36,3001.63,3019.1,2988.43,27.04B,-0.64
20160323,3009.96,2991.17,3012.56,2980.86,21.70B,0.35
20160324,2960.97,2986.8,2998.15,2960.54,23.70B,-1.63
20160325,2979.43,2956.2,2981.41,2952.11,17.51B,0.62
20160328,2957.82,2988.01,3008.17,2948.53,20.20B,-0.73
20160329,2919.83,2956.71,2962.2,2905.25,18.30B,-1.28
20160303,2859.76,2847.33,2878.45,2840.87,28.75B,0.35
20160330,3000.64,2941.22,3001.11,2941.22,21.04B,2.77
20160331,3003.92,3009.37,3023.41,2992.92,22.04B,0.11
20160304,2874.15,2848.54,2880.37,2808.85,31.25B,0.5
20160307,2897.34,2886.64,2911.84,2871.35,21.75B,0.81
20160308,2901.39,2895.67,2902.62,2802.56,23.35B,0.14
20160309,2862.56,2839.41,2863.01,2811.72,18.34B,-1.34
20160401,3009.53,2997.09,3009.67,2956.25,20.65B,0.19
20160411,3033.96,3006.91,3048.98,3006.91,22.00B,1.64
20160412,3023.65,3031.3,3036.82,3001.32,18.27B,-0.34
20160413,3066.64,3041.36,3097.16,3041.36,31.00B,1.42
20160414,3082.36,3080.09,3086.7,3056.99,20.82B,0.51
20160415,3078.12,3085.03,3089.95,3066.87,18.96B,-0.14
20160418,3033.66,3058.46,3058.46,3022.97,18.33B,-1.44
20160419,3042.82,3047.13,3054.5,3024.9,15.65B,0.3
20160420,2972.58,3050.38,3055.69,2905.05,28.31B,-2.31
20160421,2952.89,2954.37,2990.67,2943.46,18.94B,-0.66
20160422,2959.24,2933.03,2960.21,2926.78,13.72B,0.22
20160425,2946.67,2949.97,2954.09,2917.02,12.59B,-0.42
20160426,2964.7,2944.72,2965.43,2933.97,11.77B,0.61
20160427,2953.67,2967.19,2976.02,2949.43,13.09B,-0.37
20160428,2945.59,2955.74,2959.51,2916.37,13.87B,-0.27
20160429,2938.32,2935.38,2950.58,2930.36,10.93B,-0.25
20160405,3053.07,3000.94,3057.33,2993.15,25.67B,1.45
20160406,3050.59,3039.74,3059.79,3029.0,23.23B,-0.08
20160407,3008.42,3058.34,3062.36,3007.06,22.09B,-1.38
20160408,2984.96,2988.2,2996.17,2960.46,18.79B,-0.78
20160510,2832.59,2822.33,2845.24,2820.16,12.08B,0.02
20160511,2837.04,2843.54,2857.25,2818.7,13.58B,0.16
20160512,2835.86,2812.11,2839.28,2781.24,13.63B,-0.04
20160513,2827.11,2828.46,2850.09,2814.11,11.43B,-0.31
20160516,2850.86,2816.78,2851.23,2804.99,11.47B,0.84
20160517,2843.68,2850.93,2860.32,2832.46,12.34B,-0.25
20160518,2807.51,2828.18,2828.26,2781.42,14.05B,-1.27
20160519,2806.91,2802.31,2829.4,2801.55,11.16B,-0.02
20160520,2825.48,2792.89,2825.95,2785.08,10.87B,0.66
20160523,2843.64,2826.31,2848.07,2826.26,12.05B,0.64
20160524,2821.67,2839.68,2839.7,2807.19,11.15B,-0.77
20160525,2815.09,2835.03,2843.16,2807.75,10.35B,-0.23
20160526,2822.44,2813.54,2827.09,2780.76,11.48B,0.26
20160527,2821.05,2817.97,2832.8,2809.8,10.98B,-0.05
20160503,2992.64,2940.39,2993.53,2929.81,16.87B,1.85
20160530,2822.45,2814.65,2830.97,2794.66,10.63B,0.05
20160531,2916.62,2822.59,2917.14,2822.59,21.53B,3.34
20160504,2991.27,2983.03,3004.42,2978.33,16.54B,-0.05
20160505,2997.84,2987.02,2999.12,2977.2,14.48B,0.22
20160506,2913.25,2998.4,3003.59,2913.04,20.68B,-2.82
20160509,2832.11,2896.16,2896.16,2821.83,18.04B,-2.79
20160601,2913.51,2917.15,2929.08,2909.51,18.84B,-0.11
20160613,2833.07,2897.27,2911.16,2832.51,16.93B,-3.21
20160614,2842.19,2824.23,2843.46,2822.06,11.98B,0.32
20160615,2887.21,2814.69,2894.26,2811.78,16.67B,1.58
20160616,2872.82,2878.4,2887.74,2865.39,17.39B,-0.5
20160617,2885.11,2873.01,2900.3,2872.18,17.15B,0.43
20160602,2925.23,2911.22,2925.67,2906.52,15.97B,0.4
20160620,2888.81,2887.64,2891.66,2864.02,13.66B,0.13
20160621,2878.56,2898.38,2919.3,2869.18,16.44B,-0.35
20160622,2905.55,2872.73,2905.98,2869.51,13.06B,0.94
20160623,2891.96,2902.4,2904.11,2878.66,13.61B,-0.47
20160624,2854.29,2883.76,2899.57,2807.6,19.08B,-1.3
20160627,2895.7,2840.56,2895.73,2840.28,15.67B,1.45
20160628,2912.56,2885.01,2913.58,2878.82,17.39B,0.58
20160629,2931.59,2918.53,2934.0,2915.06,19.32B,0.65
20160603,2938.68,2929.79,2945.52,2915.18,17.20B,0.46
20160630,2929.61,2931.48,2938.14,2922.31,15.45B,-0.07
20160606,2934.1,2940.99,2945.94,2922.28,14.20B,-0.16
20160607,2936.04,2936.28,2938.44,2923.5,13.30B,0.07
20160608,2927.16,2932.38,2937.99,2908.37,14.30B,-0.3
20160701,2932.48,2931.8,2944.99,2925.81,14.12B,0.1
20160711,2994.92,2993.75,3022.94,2990.91,22.43B,0.23
20160712,3049.38,2992.52,3049.68,2984.42,25.95B,1.82
20160713,3060.69,3049.51,3069.05,3048.2,25.37B,0.37
20160714,3054.02,3054.97,3057.05,3036.52,18.02B,-0.22
20160715,3054.3,3056.68,3062.68,3044.54,17.29B,0.01
20160718,3043.56,3047.64,3058.32,3031.64,17.75B,-0.35
20160719,3036.6,3040.23,3043.6,3014.29,15.54B,-0.23
20160720,3027.9,3034.71,3043.0,3022.63,13.82B,-0.29
20160721,3039.01,3027.6,3053.33,3027.37,16.38B,0.37
20160722,3012.82,3038.12,3039.27,3007.46,16.20B,-0.86
20160725,3015.83,3008.09,3027.12,3003.29,14.42B,0.1
20160726,3050.17,3014.04,3050.61,3013.8,15.67B,1.14
20160727,2992.0,3050.37,3057.42,2939.23,28.02B,-1.91
20160728,2994.32,2980.5,3003.36,2968.18,19.06B,0.08
20160729,2979.34,2992.54,3000.05,2972.92,15.01B,-0.5
20160704,2988.6,2924.29,2992.5,2922.52,22.20B,1.91
20160705,3006.39,2991.75,3010.28,2990.64,23.52B,0.6
20160706,3017.29,2998.52,3017.65,2984.83,21.24B,0.36
20160707,3016.85,3009.35,3024.11,2994.64,22.27B,-0.01
20160708,2988.09,3000.33,3001.55,2983.88,16.90B,-0.95
20160801,2953.39,2971.95,2972.88,2931.96,14.74B,-0.87
20160810,3018.75,3023.47,3033.2,3017.09,16.47B,-0.23
20160811,3002.64,3013.68,3038.05,3001.17,16.19B,-0.53
20160812,3050.67,3000.27,3051.05,2999.04,16.82B,1.6
20160815,3125.2,3056.48,3137.48,3053.87,29.76B,2.44
20160816,3110.04,3130.53,3140.44,3102.07,27.83B,-0.49
20160817,3109.55,3106.99,3114.25,3090.28,21.38B,-0.02
20160818,3104.11,3107.75,3125.58,3093.32,22.94B,-0.17
20160819,3108.1,3100.39,3113.34,3082.77,19.43B,0.13
20160802,2971.28,2950.08,2971.28,2946.64,11.55B,0.61
20160822,3084.81,3107.38,3112.74,3083.59,18.54B,-0.75
20160823,3089.71,3081.57,3101.11,3073.53,16.14B,0.16
20160824,3085.88,3092.02,3097.15,3079.55,14.57B,-0.12
20160825,3068.33,3073.44,3073.44,3041.51,17.40B,-0.57
20160826,3070.31,3069.85,3087.65,3063.89,14.97B,0.06
20160829,3070.03,3068.46,3074.94,3058.79,14.45B,-0.01
20160803,2978.46,2963.21,2981.16,2956.79,14.11B,0.24
20160830,3074.68,3071.44,3082.99,3065.97,14.04B,0.15
20160831,3085.49,3072.92,3087.7,3063.4,14.14B,0.35
20160804,2982.43,2976.41,2982.86,2958.93,13.39B,0.13
20160805,2976.7,2978.78,2991.68,2971.56,14.19B,-0.19
20160808,3004.28,2972.62,3004.72,2959.05,15.57B,0.93
20160809,3025.68,3001.31,3025.91,2998.68,17.00B,0.71
20160901,3063.31,3083.96,3088.7,3062.88,15.52B,-0.72
20160912,3021.98,3037.51,3040.95,2999.93,20.60B,-1.85
20160913,3023.51,3025.03,3029.72,3008.74,13.54B,0.05
20160914,3002.85,3008.9,3017.94,2995.42,13.34B,-0.68
20160919,3026.05,3005.32,3026.65,3005.32,11.92B,0.77
20160902,3067.35,3057.49,3072.53,3050.49,15.04B,0.13
20160920,3023.0,3027.17,3027.82,3015.88,11.89B,-0.1
20160921,3025.87,3021.58,3032.45,3017.54,11.57B,0.09
20160922,3042.31,3038.42,3054.44,3035.07,13.93B,0.54
20160923,3033.9,3044.79,3046.8,3032.8,12.56B,-0.28
20160926,2980.43,3028.24,3028.24,2980.12,14.43B,-1.76
20160927,2998.17,2974.59,2998.23,2969.13,12.17B,0.6
20160928,2987.86,3000.7,3000.7,2984.32,10.46B,-0.34
20160929,2998.48,2992.17,3009.2,2991.91,11.32B,0.36
20160930,3004.7,2994.25,3009.2,2993.06,10.13B,0.21
20160905,3072.1,3070.71,3085.49,3065.33,14.50B,0.15
20160906,3090.71,3071.06,3095.51,3053.19,17.29B,0.61
20160907,3091.93,3091.33,3105.68,3087.88,18.70B,0.04
20160908,3095.95,3089.95,3096.78,3083.9,14.59B,0.13
20160909,3078.85,3095.43,3101.79,3078.22,16.07B,-0.55
20170110,3161.67,3167.57,3174.58,3157.33,17.98B,-0.3
20170111,3136.75,3156.69,3167.03,3136.27,17.84B,-0.79
20170112,3119.29,3133.6,3144.97,3115.98,14.89B,-0.56
20170113,3112.76,3116.08,3130.51,3102.16,15.63B,-0.21
20170116,3103.43,3104.49,3105.14,3044.29,25.79B,-0.3
20170117,3108.77,3087.03,3108.91,3072.34,13.62B,0.17
20170118,3113.01,3104.77,3123.72,3098.59,13.18B,0.14
20170119,3101.3,3104.97,3115.78,3094.01,12.39B,-0.38
20170120,3123.14,3095.82,3125.66,3095.21,12.24B,0.7
20170123,3136.77,3125.42,3145.84,3125.42,13.27B,0.44
20170124,3142.55,3134.59,3149.53,3131.22,12.60B,0.18
20170125,3149.55,3137.65,3151.47,3133.19,11.21B,0.22
20170126,3159.17,3149.22,3163.1,3148.91,11.39B,0.31
20170103,3135.92,3105.31,3136.46,3105.31,14.16B,1.04
20170104,3158.79,3133.79,3160.1,3130.11,16.79B,0.73
20170105,3165.41,3157.91,3168.5,3154.28,17.47B,0.21
20170106,3154.32,3163.78,3172.03,3153.03,18.37B,-0.35
20170109,3171.24,3148.53,3173.14,3147.74,17.17B,0.54
20171010,3382.99,3373.34,3384.03,3358.8,17.94B,0.26
20171011,3388.28,3381.49,3395.78,3379.16,18.15B,0.16
20171012,3386.1,3385.53,3390.2,3372.53,16.18B,-0.06
20171013,3390.52,3384.49,3395.75,3383.24,14.00B,0.13
20171016,3378.47,3393.21,3400.51,3374.77,17.43B,-0.36
20171017,3372.04,3373.23,3382.41,3365.56,12.54B,-0.19
20171018,3381.79,3373.53,3383.23,3371.92,15.72B,0.29
20171019,3370.17,3374.64,3378.74,3359.63,15.85B,-0.34
20171020,3378.65,3363.51,3379.77,3360.1,12.72B,0.25
20171023,3380.7,3382.28,3385.29,3374.7,13.08B,0.06
20171024,3388.25,3376.6,3388.69,3374.12,13.99B,0.22
20171025,3396.9,3384.86,3398.3,3382.03,12.31B,0.26
20171026,3407.57,3397.52,3414.24,3391.45,18.38B,0.31
20171027,3416.81,3404.5,3421.1,3402.11,17.03B,0.27
20171030,3390.34,3413.87,3419.73,3357.28,20.83B,-0.77
20171031,3393.34,3381.0,3397.1,3376.12,15.35B,0.09
20171009,3374.38,3403.25,3410.17,3366.97,19.17B,0.76
20171101,3395.91,3393.97,3410.35,3388.6,18.06B,0.08
20171110,3432.67,3423.18,3438.79,3414.33,18.93B,0.14
20171113,3447.84,3435.18,3449.16,3435.08,20.54B,0.44
20171114,3429.55,3446.55,3450.49,3419.69,19.65B,-0.53
20171115,3402.52,3416.21,3423.75,3396.38,16.88B,-0.79
20171116,3399.25,3393.19,3409.65,3390.59,15.67B,-0.1
20171117,3382.91,3392.68,3403.29,3373.3,24.95B,-0.48
20171102,3383.31,3391.65,3391.65,3372.21,16.69B,-0.37
20171120,3392.4,3361.36,3393.11,3337.12,17.65B,0.28
20171121,3410.5,3382.36,3419.8,3377.6,19.69B,0.53
20171122,3430.46,3417.33,3442.18,3404.29,21.36B,0.59
20171123,3351.92,3425.01,3429.42,3342.33,21.53B,-2.29
20171124,3353.82,3340.38,3360.75,3328.33,15.96B,0.06
20171127,3322.23,3346.66,3347.05,3315.26,16.64B,-0.94
20171128,3333.66,3311.23,3333.8,3300.78,13.82B,0.34
20171129,3337.86,3335.57,3343.06,3305.57,18.38B,0.13
20171103,3371.74,3377.74,3380.57,3347.36,17.27B,-0.34
20171130,3317.19,3328.64,3340.92,3306.28,15.66B,-0.62
20171106,3388.17,3369.68,3389.38,3356.53,15.46B,0.49
20171107,3413.57,3389.47,3415.15,3387.95,19.06B,0.75
20171108,3415.46,3409.15,3434.49,3404.88,18.54B,0.06
20171109,3427.79,3410.67,3428.77,3408.62,15.86B,0.36
20171201,3317.62,3315.11,3324.52,3302.44,13.92B,0.01
20171211,3322.2,3290.49,3322.67,3288.29,13.20B,0.98
20171212,3280.81,3320.31,3320.31,3280.33,12.46B,-1.25
20171213,3303.04,3278.4,3304.01,3273.32,11.20B,0.68
20171214,3292.44,3302.93,3309.53,3282.57,12.05B,-0.32
20171215,3266.14,3287.53,3287.53,3259.39,13.09B,-0.8
20171218,3267.92,3268.03,3280.54,3254.18,12.07B,0.05
20171219,3296.54,3266.02,3296.94,3266.02,11.51B,0.88
20171220,3287.61,3296.74,3300.21,3276.12,13.77B,-0.27
20171221,3300.06,3281.12,3309.22,3267.4,14.21B,0.38
20171222,3297.06,3297.69,3307.33,3293.44,12.40B,-0.09
20171225,3280.46,3296.21,3312.3,3270.44,14.69B,-0.5
20171226,3306.12,3277.84,3307.3,3274.33,14.24B,0.78
20171227,3275.78,3302.46,3307.08,3270.35,16.27B,-0.92
20171228,3296.38,3272.29,3304.1,3263.73,17.54B,0.63
20171229,3307.17,3295.25,3308.22,3292.77,14.16B,0.33
20171204,3309.62,3310.38,3324.0,3304.1,14.81B,-0.24
20171205,3303.68,3301.69,3315.74,3300.51,20.83B,-0.18
20171206,3293.96,3291.31,3296.2,3254.61,15.16B,-0.29
20171207,3272.05,3283.28,3291.28,3259.16,13.21B,-0.67
20171208,3289.99,3264.48,3297.13,3258.76,13.32B,0.55
20170210,3196.7,3183.01,3205.05,3182.8,23.93B,0.42
